OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,X_COTIZADO,Y_COTIZADO,X_PENDIENTE,Y_PENDIENTE,DISTANCIA,CODIGO_PENDIENTE,CODIGO_COTIZADO,CODIGO_N,ZONAL,JEFATURA,EE_CC
44,19,5684,237.6417261098575,7,-71.51375069999995,-16.417349599999966,-71.51593399999996,-16.41776300099997,237.64,2019-05-120050,2019-04-113125,ClusterSimple_2019-05-120050,Analista Arequipa,AREQUIPA,EZENTIS
45,19,5141,325.55217488435136,8,-71.51288702999994,-16.41783874999993,-71.51593399999996,-16.41776300099997,325.55,2019-05-120050,2019-03-110356,ClusterSimple_2019-05-120050,Analista Arequipa,AREQUIPA,EZENTIS
46,20,4233,48.97427691535455,1,-71.55639589999998,-16.405889099999968,-71.55596563999995,-16.405736200999968,48.97,2019-05-121253,2019-03-107258,ClusterSimple_2019-05-121253,Analista Arequipa,AREQUIPA,EZENTIS
47,20,365,283.80331219819664,2,-71.55796699999996,-16.407422999999937,-71.55596563999995,-16.405736200999968,283.8,2019-05-121253,2018-12-88048,ClusterSimple_2019-05-121253,Analista Arequipa,AREQUIPA,EZENTIS
48,20,5388,465.23059001601337,3,-71.55922299999997,-16.408526999999935,-71.55596563999995,-16.405736200999968,465.23,2019-05-121253,2019-03-111538,ClusterSimple_2019-05-121253,Analista Arequipa,AREQUIPA,EZENTIS
49,21,4236,111.7200548981197,1,-71.52743066999994,-16.399560729999962,-71.52847444999998,-16.39962469099993,111.72,2019-05-118807,2019-03-107272,ClusterSimple_2019-05-118807,Analista Arequipa,AREQUIPA,EZENTIS
50,21,3019,239.18350452548725,2,-71.52718599999997,-16.39785699999993,-71.52847444999998,-16.39962469099993,239.18,2019-05-118807,2019-02-102443,ClusterSimple_2019-05-118807,Analista Arequipa,AREQUIPA,EZENTIS
51,21,6329,263.31981695234794,3,-71.52600999999999,-16.399569999999926,-71.52847444999998,-16.39962469099993,263.32,2019-05-118807,2019-04-117260,ClusterSimple_2019-05-118807,Analista Arequipa,AREQUIPA,EZENTIS
52,21,5592,284.5073358161527,4,-71.52646459999994,-16.397937699999943,-71.52847444999998,-16.39962469099993,284.51,2019-05-118807,2019-04-112575,ClusterSimple_2019-05-118807,Analista Arequipa,AREQUIPA,EZENTIS
53,21,4298,380.0415673664901,5,-71.52898339999996,-16.403023599999926,-71.52847444999998,-16.39962469099993,380.04,2019-05-118807,2019-03-107584,ClusterSimple_2019-05-118807,Analista Arequipa,AREQUIPA,EZENTIS
54,21,3810,391.862297308532,6,-71.52513029999994,-16.40108041999997,-71.52847444999998,-16.39962469099993,391.86,2019-05-118807,2019-02-105765,ClusterSimple_2019-05-118807,Analista Arequipa,AREQUIPA,EZENTIS
55,21,1908,396.8709435093638,7,-71.52522699999997,-16.401366999999937,-71.52847444999998,-16.39962469099993,396.87,2019-05-118807,2019-01-97060,ClusterSimple_2019-05-118807,Analista Arequipa,AREQUIPA,EZENTIS
56,21,1905,400.49251894183607,8,-71.52519799999999,-16.40138399999995,-71.52847444999998,-16.39962469099993,400.49,2019-05-118807,2019-01-96941,ClusterSimple_2019-05-118807,Analista Arequipa,AREQUIPA,EZENTIS
57,21,5908,406.4851803713465,9,-71.53176709999997,-16.397783299999958,-71.52847444999998,-16.39962469099993,406.49,2019-05-118807,2019-04-114701,ClusterSimple_2019-05-118807,Analista Arequipa,AREQUIPA,EZENTIS
58,21,6041,419.6713011181344,10,-71.52998929999995,-16.403123799999946,-71.52847444999998,-16.39962469099993,419.67,2019-05-118807,2019-04-115370,ClusterSimple_2019-05-118807,Analista Arequipa,AREQUIPA,EZENTIS
59,22,4493,90.10648270874613,1,-71.52185569999995,-16.399051619999966,-71.52121089999997,-16.39957660099998,90.11,2019-05-119003,2019-03-108238,ClusterSimple_2019-05-119003,Analista Arequipa,AREQUIPA,EZENTIS
60,22,2119,100.6828051703674,2,-71.52211223999996,-16.399842699999965,-71.52121089999997,-16.39957660099998,100.68,2019-05-119003,2019-01-98148,ClusterSimple_2019-05-119003,Analista Arequipa,AREQUIPA,EZENTIS
61,22,2120,302.22138817175716,3,-71.52287139999999,-16.401787799999966,-71.52121089999997,-16.39957660099998,302.22,2019-05-119003,2019-01-98152,ClusterSimple_2019-05-119003,Analista Arequipa,AREQUIPA,EZENTIS
62,22,2121,302.22138817175716,3,-71.52287139999999,-16.401787799999966,-71.52121089999997,-16.39957660099998,302.22,2019-05-119003,2019-01-98157,ClusterSimple_2019-05-119003,Analista Arequipa,AREQUIPA,EZENTIS
63,22,1064,390.99202463984216,4,-71.52222599999999,-16.402971199999968,-71.52121089999997,-16.39957660099998,390.99,2019-05-119003,2019-01-91628,ClusterSimple_2019-05-119003,Analista Arequipa,AREQUIPA,EZENTIS
64,22,6201,437.3332312277586,5,-71.51863199999997,-16.402645999999947,-71.52121089999997,-16.39957660099998,437.33,2019-05-119003,2019-04-116271,ClusterSimple_2019-05-119003,Analista Arequipa,AREQUIPA,EZENTIS
65,22,828,442.9184810055452,6,-71.52100404999999,-16.395579169999962,-71.52121089999997,-16.39957660099998,442.92,2019-05-119003,2018-12-90298,ClusterSimple_2019-05-119003,Analista Arequipa,AREQUIPA,EZENTIS
66,22,3810,450.5275193289892,7,-71.52513029999994,-16.40108041999997,-71.52121089999997,-16.39957660099998,450.53,2019-05-119003,2019-02-105765,ClusterSimple_2019-05-119003,Analista Arequipa,AREQUIPA,EZENTIS
67,22,1905,470.52365068316,8,-71.52519799999999,-16.40138399999995,-71.52121089999997,-16.39957660099998,470.52,2019-05-119003,2019-01-96941,ClusterSimple_2019-05-119003,Analista Arequipa,AREQUIPA,EZENTIS
68,22,1908,472.53755022156327,9,-71.52522699999997,-16.401366999999937,-71.52121089999997,-16.39957660099998,472.54,2019-05-119003,2019-01-97060,ClusterSimple_2019-05-119003,Analista Arequipa,AREQUIPA,EZENTIS
69,23,4542,79.50834934944388,1,-71.54664809999997,-16.39101119999998,-71.54737820999998,-16.39115080099998,79.51,2019-05-121562,2019-03-108343,ClusterSimple_2019-05-121562,Analista Arequipa,AREQUIPA,EZENTIS
70,23,865,148.21408690379303,2,-71.54635999999994,-16.390240999999946,-71.54737820999998,-16.39115080099998,148.21,2019-05-121562,2018-12-90522,ClusterSimple_2019-05-121562,Analista Arequipa,AREQUIPA,EZENTIS
71,23,5726,165.7835819066305,3,-71.54637399999996,-16.39229299999994,-71.54737820999998,-16.39115080099998,165.78,2019-05-121562,2019-04-113272,ClusterSimple_2019-05-121562,Analista Arequipa,AREQUIPA,EZENTIS
72,23,1009,186.6448915762639,4,-71.54607776999995,-16.39002438999995,-71.54737820999998,-16.39115080099998,186.64,2019-05-121562,2019-01-91344,ClusterSimple_2019-05-121562,Analista Arequipa,AREQUIPA,EZENTIS
73,23,4231,221.90398878029754,5,-71.54899435999994,-16.39241059999995,-71.54737820999998,-16.39115080099998,221.9,2019-05-121562,2019-03-107249,ClusterSimple_2019-05-121562,Analista Arequipa,AREQUIPA,EZENTIS
74,23,2997,223.42279065516513,6,-71.54897995999994,-16.39244906999994,-71.54737820999998,-16.39115080099998,223.42,2019-05-121562,2019-02-102395,ClusterSimple_2019-05-121562,Analista Arequipa,AREQUIPA,EZENTIS
75,23,2926,261.88701568424204,7,-71.54714499999994,-16.38879499999996,-71.54737820999998,-16.39115080099998,261.89,2019-05-121562,2019-02-102134,ClusterSimple_2019-05-121562,Analista Arequipa,AREQUIPA,EZENTIS
76,23,6637,309.54345257861445,8,-71.54942749999998,-16.38917319999996,-71.54737820999998,-16.39115080099998,309.54,2019-05-121562,2019-05-119665,ClusterSimple_2019-05-121562,Analista Arequipa,AREQUIPA,EZENTIS
77,23,5221,320.83897609878727,9,-71.55003409999995,-16.38979699999993,-71.54737820999998,-16.39115080099998,320.84,2019-05-121562,2019-03-110668,ClusterSimple_2019-05-121562,Analista Arequipa,AREQUIPA,EZENTIS
