CODIGO;CLIENTE;TIPO REQUERIMIENTO;ALIAS;RESPONSABLE VU;SALESFORCE;PROYECTO;REGISTRO;SEGMENTO;DEPARTAMENTO;PROVINCIA;DISTRITO;DIRECCION;NUMERO;ACCESO;TENDIDO EXTERNO;TIPO SEDE;NRO PISOS;ZONAL;RESPONSABLE ;REGION;ENLACE;LATITUD;LONGITUD;UNIDAD DE NEGOCIO;ESTUDIO;NODO;DIAS;PEP;PEP2;GRAFO;TOTAL SOLES;TOTAL DOLARES;ESTADO ESTUDIO;COTIZACION SOLES;COTIZACION DOLARES;DIAS;FECHA ENVIO;INICIO ESTUDIO;FIN ESTUDIO;FIN CONSOLIDACION;INICIO EJECUCION;INICIO IMPLEMENTACION;ESTADO
2019-04-116954;DIRECCION REGIONAL DE SALUD PASCO;Fibra Optica;C.S. NINACACA;Juan Noya;PER-002064815;Licitaciones;23/04/2019 23:36;Empresas;Pasco;Pasco;Ninacaca; CARRETERA CENTRAL NINACACA DISTRITO NINACACA PROVINCIA PASCO DEPARTAMENTO PASCO;;Aereo;Mixto;Edificio Monocliente;1;Analista Huánuco;Freddy Flores;Region Norte;Principal;-10.85577399;-76.11218109;Francelys Figueroa;;;;;;;;;;;;;;23/04/2019 23:36;;;;;Pend. Cotiz.
2019-04-117144;MINERA COLIBRI SAC;Fibra Optica;JULIACA;Juan Noya;PER-002081144;Alto Valor;24/04/2019 17:01;Negocios;Puno;San Roman;Juliaca;" JR. OCEANO PACIFICO NRO. 359 URB. SAN JOSE 2E PUNO - SAN ROMAN - JULIACA
";;Aereo;Mixto;Edificio Monocliente;1;Analista Puno;Roger Palza Transm,Jesús Vargas;Region Sur;Principal;-15.476829;-70.135029;Hubert Edgar Salas Rodriguez;Estudio FO Principal;JULIACA;15;;;;5700;0;Enviado VU;;;;;24/04/2019 17:01;3/05/2019 1:15;;;;Pend. Cotiz.
2019-04-117306;BIO CELTROM E.I.R.L.;Fibra Optica;JUNIN;Juan Noya;PER-002143063;Premium;25/04/2019 13:16;Negocios;Junin;Huancayo;Huancayo;JIRON TACNA 561  PISO 13 INT 1308 HUANCAYO - HUANCAYO - JUNIN;;Aereo;Mixto;Edificio Monocliente;1;Analista Huancayo;Roger Palza Transm,Juan Mesias Echevarria;Region Sur;Principal;-12.073513;-75.214378;Hubert Edgar Salas Rodriguez;Estudio FO Principal;HUANCAYO;20;;;;4221;0;Enviado VU;;;;;25/04/2019 13:16;4/05/2019 12:11;;;;Pend. Cotiz.
2019-04-117357;COLEGIO PRIVADO DIVINO MAESTRO CHAPARRA;Fibra Optica;AREQUIPA;Juan Noya;PER-002143983;Premium;25/04/2019 15:23;Negocios;Arequipa;Caraveli;Chala;" CALLE 2 DE ENERO 180 (CHALA - CARAVELÍ - AREQUIPA)
";;Aereo;Mixto;Edificio Monocliente;1;Analista Arequipa;Juan Malaga Contreras,Roger Palza Transm;Region Sur;Principal;-15.8626875;-74.2464375;Wayloung Leung;Estudio FO Principal;CHALA;30;;;;1250;0;Enviado VU;;;;;25/04/2019 15:23;26/04/2019 12:32;;;;Pend. Cotiz.
2019-04-117492;YOU WIN PERU SOCIEDAD ANONIMA CERRADA - YOU WIN PERU S.A.C.;Fibra Optica;LA LIBERTAD;Juan Noya;PER-002144388;Premium;25/04/2019 20:34;Negocios;La Libertad;Sanchez Carrion;Huamachuco;Jr. Suarez Nro. 1164;;Aereo;Mixto;Edificio Monocliente;1;Analista Trujillo;Wilmer Llapo,Roger Palza Transm;Region Norte;Principal;-7.815786;-78.044263;Diego Cervantes;Estudio FO Principal;HUAMACHUCO;15;;;;5300;0;Enviado VU;;;;;25/04/2019 20:34;7/05/2019 11:43;;;;Pend. Cotiz.
2019-04-117498;AUTORIDAD NACIONAL DEL AGUA;Fibra Optica;;Juan Noya;PER-002143300;Licitaciones;25/04/2019 21:24;Empresas;Lima;Lima;San Isidro;Los Petirrojos 355;;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Roger Palza Transm,Manuel Vera Lari;Lima;Principal;-12.0941545;-77.0159613;Joel Campos Fabian;Estudio FO Ubicación 1;SAN BORJA;15;;;;7000;0;Enviado VU;;;;;25/04/2019 21:24;29/04/2019 17:45;;;;Pend. Cotiz.
2019-04-117630;Lumina Copper S.A.C.;Fibra Optica;CAJAMARXA;Juan Noya;PER-002146670;Premium;26/04/2019 15:04;Negocios;Cajamarca;Cajamarca;Encañada; CAMPAMENTO EL GALENO S/N, VALLE LA RICONADA CAJAMARCA CAJAMARCA ENCAÑADA;;Aereo;Mixto;Edificio Monocliente;1;Analista Cajamarca;Nilo Valencia;Region Norte;Principal;-6.9714167;-78.3248888;Hubert Edgar Salas Rodriguez;;;;;;;;;;;;;;26/04/2019 15:04;;;;;Pend. Cotiz.
2019-04-117677;UNIVERSIDAD SAN CRISTOBAL DE HUAMANGA;Fibra Optica;;Juan Noya;PER-002139943;Educación;26/04/2019 16:56;Empresas;Ayacucho;Huamanga;Ayacucho;" AV. INDEPENDENCIA S/N /CIUDAD UNIVERSITARIA, CENTRO TECNOLOGICO
";;Aereo;Mixto;Edificio Monocliente;1;Analista Ica;Roger Palza Transm,José Zavaleta;Region Sur;Principal;-13.1488878;-74.22267729;Juan Carlos Flores Aroni;Estudio FO Principal;AYACUCHO;30;;;;14000;0;Enviado VU;;;;;26/04/2019 16:56;2/05/2019 8:09;;;;Pend. Cotiz.
2019-04-117711;ECKERD PERU S.A.;Fibra Optica;Chachapoyas;Juan Noya;PER-001735074;Industria y Globales;26/04/2019 18:45;Empresas;Amazonas;Chachapoyas;Chachapoyas; Av Grau 533  - Chachapoyas;;Aereo;Mixto;Edificio Monocliente;1;Analista Chiclayo;Esmeralda Reyes Chero,Roger Palza Transm;Region Norte;Principal;-6.229325792;-77.87189487;Frank Kevin Yauta Dominguez;Estudio FO Principal;CHACHAPOYAS;45;;;;4000;0;Enviado VU;;;;;26/04/2019 18:45;29/04/2019 13:03;;;;Pend. Cotiz.
2019-04-117801;Consorcio Vial Sur Perú ;Fibra Optica;PUNO;Juan Noya;PER-002147381;Alto Valor;29/04/2019 10:23;Negocios;Puno;San Roman;Juliaca;R. Buscaglia S/N;;Aereo;Mixto;Edificio Monocliente;1;Analista Puno;Roger Palza Transm,Jesús Vargas;Region Sur;Principal;-15.497117;-70.142211;Diego Otarola Correa;Estudio FO Principal;EBC HEROES DEL PACIFICO;30;;;;6700;0;Enviado VU;;;;;29/04/2019 10:23;2/05/2019 23:55;;;;Pend. Cotiz.
2019-04-117865;LINDER INGENIEROS GRAFICOS CONSULTORES S.R.L.;Fibra Optica;PIURA;Juan Noya;PER-002147330;Alto Valor;29/04/2019 13:13;Negocios;Piura;Talara;Mancora;  Km 1155 de la Panamericana Norte (Hotel El Refugio de Vichayito) ;;Aereo;Mixto;Edificio Monocliente;1;Analista Tumbes;Jean Carlos Flores Valdiviezo,Roger Palza Transm;Region Norte;Principal;-4.14761;-81.111505;Lizbeth Barriga;Estudio FO Principal;EBC MANCORA;30;;;;16200;0;Enviado VU;;;;;29/04/2019 13:13;3/05/2019 18:48;;;;Pend. Cotiz.
2019-04-117867;COOPERATIVA DE AHORRO Y CREDITO FORTALEZA DE AYACUCHO;Fibra Optica;AYACUCHO;Juan Noya;PER-002144287;Premium;29/04/2019 13:48;Negocios;Ayacucho;Huamanga;Ayacucho; AV. MARISCAL CACERES NRO. 1291 AYACUCHO - HUAMANGA - AYACUCHO;;Aereo;Mixto;Edificio Monocliente;1;Analista Ica;Romulo Moyano,Roger Palza Transm;Region Sur;Principal;-13.1569599;-74.2278168;Luis Herrera;Estudio FO Principal;EBC MARIA P BELLIDO;30;;;;13200;0;Enviado VU;;;;;29/04/2019 13:48;3/05/2019 11:30;;;;Pend. Cotiz.
2019-04-117890;CAJA MUNICIPAL DE AREQUIPA;Fibra Optica;SEDE_ AREQUIPA;Juan Noya;PER-002136195;Licitaciones;29/04/2019 15:35;Empresas;Madre de Dios;Tambopata;Inambari;Av. Inambari Mz. “LL” Lt. “16” Centro Poblado de Mazuko II Etapa;;Canalizado;Mixto;Edificio Monocliente;1;Analista Cusco;Roberto Butrón,Roger Palza Transm;Region Sur;Principal;-13.10206504;-70.36748697;Gaby Deudor Yauri;Estudio FO Principal;EBC MAZUKO;60;;;;21700;0;Enviado VU;;;;;29/04/2019 15:35;2/05/2019 10:46;;;;Pend. Cotiz.
2019-04-117961;GRUPO APLICA S.A.C.;Fibra Optica;TRUJILLO;Juan Noya;PER-002148499;Premium;29/04/2019 16:38;Negocios;La Libertad;Trujillo;Trujillo;CALLE INCA ROCA 821 INT. 1 P.J. RIO SECO BA. 1, EL PORVENIR, TRUJILLO, LA LIBERTAD ;;Aereo;Mixto;Edificio Monocliente;1;Analista Trujillo;Roger Palza Transm,Fanny Barba;Region Norte;Principal;-8.0746738;-79.0078266;Brayan Ramirez;Estudio FO Principal;EL PORVENIR;15;;;;4890;0;Enviado VU;;;;;29/04/2019 16:38;11/05/2019 12:23;;;;Pend. Cotiz.
2019-04-118034;AXIS GL AGENCIA DE ADUANA S.A.C;Fibra Optica;PIURA ;Juan Noya;PER-002041683;Alto Valor;30/04/2019 9:46;Negocios;Piura;Paita;Paita;AAHH LAS MERCEDES MZ G LOTE 09 PAITA- PIURA;;Aereo;Mixto;Edificio Monocliente;1;Analista Piura;Roger Palza Transm,Marco Vilchez;Region Norte;Principal;-5.090169974;-81.09515505;Brayan Ramirez;Estudio FO Principal;EBC AV GARCIA NEW;30;;;;4700;0;Enviado VU;;;;;30/04/2019 9:46;6/05/2019 8:21;;;;Pend. Cotiz.
2019-04-118063;HANKUNA PERU SOCIEDAD ANONIMA CERRADA;Fibra Optica;LIMA;Juan Noya;PER-002147490;Premium;30/04/2019 11:29;Negocios;Lima;Huaura;Huaura;CAL. LOS PINOS MZA C LOTE 17 - HUAURA - HUAURA - LIMA;;Aereo;Mixto;Edificio Monocliente;1;Analista Huacho;Roger Palza Transm,Marco Arevalo;Region Norte;Principal;-11.0689375;-77.6051875;Wayloung Leung;Estudio FO Principal;HUAURA;25;;;;3800;0;Enviado VU;;;;;30/04/2019 11:29;7/05/2019 17:11;;;;Pend. Cotiz.
2019-04-118071;INST.GEOL.MINERO Y METALURGICO;Fibra Optica;FO_SEDE HUANCAYO;Juan Noya;PER-002149610;Licitaciones;30/04/2019 11:41;Empresas;Lima;Lima;La Victoria;Av Jose Galvez Barrenechea 180, La Victoria;;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Roger Palza Transm,Manuel Vera Lari;Lima;Principal;-12.0913443;-77.0139971;Joel Campos Fabian;Estudio FO Principal;SAN BORJA;30;;;;10200;0;Enviado VU;;;;;30/04/2019 11:41;2/05/2019 14:57;;;;Pend. Cotiz.
2019-04-118073;APOLLO BUSINESS S.A.C.;Fibra Optica;Carabayllo;Juan Noya;PER-002148991;Premium;30/04/2019 11:47;Negocios;Lima;Lima;Carabayllo; Parcela Lote 12 Asoc. Agropecuaria El Chaparral ;;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Jhony Sanca Ezentis,Roger Palza Transm;Lima;Principal;-11.82959;-77.049811;Lizbeth Barriga;Estudio FO Principal;EBC PORTAL SANTA MARIA;30;;;;18200;0;Enviado VU;;;;;30/04/2019 11:47;2/05/2019 15:18;;;;Pend. Cotiz.
2019-04-118078;ESTREMADOYRO Y FASSIOLI;Fibra Optica;LAMBAYEQUE;Juan Noya;PER-002148271;Premium;30/04/2019 12:30;Negocios;Lambayeque;Chiclayo;Chiclayo;Av. Mariscal Nieto - N° 480;;Aereo;Mixto;Edificio Monocliente;1;Analista Chiclayo;Esmeralda Reyes Chero,Roger Palza Transm;Region Norte;Principal;-6.774885;-79.831209;Diego Cervantes;Estudio FO Principal;EBC CC BOULEVARD;40;;;;4400;0;Enviado VU;;;;;30/04/2019 12:30;2/05/2019 15:03;;;;Pend. Cotiz.
