ITEM_PLAN;CTO_SIROPE;CTO_GIS_CMS;DIRECCION;NUMERO;TIPO;PISO;X;Y
19-2121500405;LLTRG0100872;;AV. COSTA RICA URB. MONSERRATE F2 2;;;;-79.0297482;-8.124627179
19-2121500404;LLTG0100861;;AV. COSTA RICA URB. MONSERRATE D2 1;;;;-79.02919954;-8.123681842
19-2121500403;LLTRG0100864;;AV. COSTA RICA URB. MONSERRATE C2 4;;;;-79.02891762;-8.123295341
19-2121500402;LLTRG0100871;;AV. COSTA RICA URB. MONSERRATE G2 2;;;;-79.0300802;-8.125455233
19-2121500401;LLTRG0100874;;CA. FRANCIA MOD. L 2-4;;;;-79.03060969;-8.12518564
19-2121500400;LLTRG0100875;;AV. COSTA RICA URB. MONSERRATE F2 3;;;;-79.02982695;-8.124810751
19-2121500397;LLLFTK100834;;CL. LAS MALVAS 261;;;;-79.04310501;-8.13369656
19-2121500397;LLLFTK100835;;CL. LAS MALVAS 261;;;;-79.04310501;-8.13369656
19-2121500397;LLLFTK100836;;CL. LAS MALVAS 261;;;;-79.04310501;-8.13369656
19-2121500396;SSLLLFTK100831;;CA. LAS MALVAS 285;;;;-79.04324311;-8.133744179
19-2121500395;SSLLLFTK100722;;CA. LOS LAURELES 263 A;;;;-79.04085805;-8.131813405
19-2121500394;LLLFG0100286;;URB. LOS ROSALES MZ R LT 15;;;;-79.0421236;-8.123629362
19-2121500388;LLLFG0100113;;CA. SANTA MARIA MZ X LT 13;;;;-79.0371347;-8.128259915
19-2121500387;SSLLLFTK100833;;CA. LAS MALVAS 225;;;;-79.04274043;-8.133190989
19-2121500386;SSLLLFTK100832;;CA. LAS MALVAS 241;;;;-79.04288547;-8.133357498
19-2121500385;LLLFTK100764;;AV. VICTOR LARCO HERRERA 1729;;;;-79.04305851;-8.129769141
19-2121500384;SSLLLFTK100782;;JR.LOS EUCALIPTOS 330;;;;-79.04397042;-8.13426615
19-2121500379;LLTRD1503241;;AV. TEODORO VARCARCEL 367;;;9;-79.0352767;-8.100205651
19-2121500379;LLTRD1503242;;AV. TEODORO VARCARCEL 367;;;6;-79.0352767;-8.100205651
19-2121500379;LLTRD1503243;;AV. TEODORO VARCARCEL 367;;;3;-79.0352767;-8.100205651
19-2121500379;LLTRD1503244;;AV. TEODORO VARCARCEL 367;;;2;-79.0352767;-8.100205651
